Date,City,Route,Mode,DayType,Ridership
2001-05-11,Chicago,Total,Bus,W,1004068
2001-05-12,Chicago,Total,Bus,A,649008
2001-05-13,Chicago,Total,Bus,U,422270
2001-05-14,Chicago,Total,Bus,W,963027
2001-05-15,Chicago,Total,Bus,W,1035512
2001-05-16,Chicago,Total,Bus,W,995884
2001-05-17,Chicago,Total,Bus,W,1006118
2001-05-18,Chicago,Total,Bus,W,1027834
2001-05-19,Chicago,Total,Bus,A,645603
2001-05-20,Chicago,Total,Bus,U,427040
2001-05-21,Chicago,Total,Bus,W,958236
2001-05-22,Chicago,Total,Bus,W,1019568
2001-05-23,Chicago,Total,Bus,W,978614
2001-05-24,Chicago,Total,Bus,W,973423
2001-05-25,Chicago,Total,Bus,W,988982
2001-05-26,Chicago,Total,Bus,A,512958
2001-05-27,Chicago,Total,Bus,U,390535
2001-05-28,Chicago,Total,Bus,U,392906
2001-05-29,Chicago,Total,Bus,W,1003029
2001-05-30,Chicago,Total,Bus,W,1002940
2001-05-31,Chicago,Total,Bus,W,965359
2001-06-01,Chicago,Total,Bus,W,1057056
2001-06-02,Chicago,Total,Bus,A,618944
2001-06-03,Chicago,Total,Bus,U,432408
2001-06-04,Chicago,Total,Bus,W,1029447
2001-06-05,Chicago,Total,Bus,W,935443
2001-06-06,Chicago,Total,Bus,W,1004243
2001-06-07,Chicago,Total,Bus,W,1004748
2001-06-08,Chicago,Total,Bus,W,1012502
2001-06-09,Chicago,Total,Bus,A,639444
2001-06-10,Chicago,Total,Bus,U,438393
2001-06-11,Chicago,Total,Bus,W,910186
2001-06-12,Chicago,Total,Bus,W,946314
2001-06-13,Chicago,Total,Bus,W,911372
2001-06-14,Chicago,Total,Bus,W,891710
2001-06-15,Chicago,Total,Bus,W,912712
2001-06-16,Chicago,Total,Bus,A,675335
2001-06-17,Chicago,Total,Bus,U,422714
2001-06-18,Chicago,Total,Bus,W,909937
2001-06-19,Chicago,Total,Bus,W,944122
2001-06-20,Chicago,Total,Bus,W,939471
2001-06-21,Chicago,Total,Bus,W,900375
2001-06-22,Chicago,Total,Bus,W,957514
2001-06-23,Chicago,Total,Bus,A,631716
2001-06-24,Chicago,Total,Bus,U,443240
2001-06-25,Chicago,Total,Bus,W,947130
2001-06-26,Chicago,Total,Bus,W,944301
2001-06-27,Chicago,Total,Bus,W,944274
2001-06-28,Chicago,Total,Bus,W,942731
2001-06-29,Chicago,Total,Bus,W,996694
2001-06-30,Chicago,Total,Bus,A,649995
2001-07-01,Chicago,Total,Bus,U,435317
2001-07-02,Chicago,Total,Bus,W,958879
2001-07-03,Chicago,Total,Bus,W,990209
2001-07-04,Chicago,Total,Bus,U,461383
2001-07-05,Chicago,Total,Bus,W,918500
2001-07-06,Chicago,Total,Bus,W,958011
2001-07-07,Chicago,Total,Bus,A,599172
2001-07-08,Chicago,Total,Bus,U,439513
2001-07-09,Chicago,Total,Bus,W,935542
2001-07-10,Chicago,Total,Bus,W,937066
2001-07-11,Chicago,Total,Bus,W,960775
2001-07-12,Chicago,Total,Bus,W,949551
2001-07-13,Chicago,Total,Bus,W,957097
2001-07-14,Chicago,Total,Bus,A,629660
2001-07-15,Chicago,Total,Bus,U,420137
2001-07-16,Chicago,Total,Bus,W,880246
2001-07-17,Chicago,Total,Bus,W,920250
2001-07-18,Chicago,Total,Bus,W,935427
2001-07-19,Chicago,Total,Bus,W,949691
2001-07-20,Chicago,Total,Bus,W,937942
2001-07-21,Chicago,Total,Bus,A,593545
2001-07-22,Chicago,Total,Bus,U,379766
2001-07-23,Chicago,Total,Bus,W,854318
2001-07-24,Chicago,Total,Bus,W,939133
2001-07-25,Chicago,Total,Bus,W,874776
2001-07-26,Chicago,Total,Bus,W,954848
2001-07-27,Chicago,Total,Bus,W,933625
2001-07-28,Chicago,Total,Bus,A,607195
2001-07-29,Chicago,Total,Bus,U,432534
2001-07-30,Chicago,Total,Bus,W,908372
2001-07-31,Chicago,Total,Bus,W,884617
2001-08-01,Chicago,Total,Bus,W,873553
2001-08-02,Chicago,Total,Bus,W,790639
2001-08-03,Chicago,Total,Bus,W,984483
2001-08-04,Chicago,Total,Bus,A,648406
2001-08-05,Chicago,Total,Bus,U,453344
2001-08-06,Chicago,Total,Bus,W,907499
2001-08-07,Chicago,Total,Bus,W,875431
2001-08-08,Chicago,Total,Bus,W,854367
2001-08-09,Chicago,Total,Bus,W,846305
2001-08-10,Chicago,Total,Bus,W,946431
2001-08-11,Chicago,Total,Bus,A,607614
2001-08-12,Chicago,Total,Bus,U,420182
2001-08-13,Chicago,Total,Bus,W,892382
2001-08-14,Chicago,Total,Bus,W,866757
2001-08-15,Chicago,Total,Bus,W,878793
2001-08-16,Chicago,Total,Bus,W,800887
2001-08-17,Chicago,Total,Bus,W,929083
2001-08-18,Chicago,Total,Bus,A,569201
2001-08-19,Chicago,Total,Bus,U,439920
2001-08-20,Chicago,Total,Bus,W,876831
2001-08-21,Chicago,Total,Bus,W,894995
2001-08-22,Chicago,Total,Bus,W,864392
2001-08-23,Chicago,Total,Bus,W,906026
2001-08-24,Chicago,Total,Bus,W,926014
2001-08-25,Chicago,Total,Bus,A,518211
2001-08-26,Chicago,Total,Bus,U,439715
2001-08-27,Chicago,Total,Bus,W,900370
2001-08-28,Chicago,Total,Bus,W,933626
2001-08-29,Chicago,Total,Bus,W,901782
2001-08-30,Chicago,Total,Bus,W,913200
2001-08-31,Chicago,Total,Bus,W,986749
2001-09-01,Chicago,Total,Bus,A,639977
2001-09-02,Chicago,Total,Bus,U,470771
2001-09-03,Chicago,Total,Bus,U,448248
2001-09-04,Chicago,Total,Bus,W,1120482
2001-09-05,Chicago,Total,Bus,W,1047878
2001-09-06,Chicago,Total,Bus,W,1053246
2001-09-07,Chicago,Total,Bus,W,1070339
2001-09-08,Chicago,Total,Bus,A,645427
2001-09-09,Chicago,Total,Bus,U,492026
2001-09-10,Chicago,Total,Bus,W,1075781
2001-09-11,Chicago,Total,Bus,W,957593
2001-09-12,Chicago,Total,Bus,W,931165
2001-09-13,Chicago,Total,Bus,W,1010171
2001-09-14,Chicago,Total,Bus,W,1034666
2001-09-15,Chicago,Total,Bus,A,615097
2001-09-16,Chicago,Total,Bus,U,417392
2001-09-17,Chicago,Total,Bus,W,919985
2001-09-18,Chicago,Total,Bus,W,1039365
2001-09-19,Chicago,Total,Bus,W,939442
2001-09-20,Chicago,Total,Bus,W,973094
2001-09-21,Chicago,Total,Bus,W,967583
2001-09-22,Chicago,Total,Bus,A,641096
2001-09-23,Chicago,Total,Bus,U,361048
2001-09-24,Chicago,Total,Bus,W,940207
2001-09-25,Chicago,Total,Bus,W,968563
2001-09-26,Chicago,Total,Bus,W,1028542
2001-09-27,Chicago,Total,Bus,W,1024125
2001-09-28,Chicago,Total,Bus,W,1024142
2001-09-29,Chicago,Total,Bus,A,639464
2001-09-30,Chicago,Total,Bus,U,412037
2001-10-01,Chicago,Total,Bus,W,1069361
2001-10-02,Chicago,Total,Bus,W,1078342
2001-10-03,Chicago,Total,Bus,W,1018388
2001-10-04,Chicago,Total,Bus,W,902598
2001-10-05,Chicago,Total,Bus,W,1034680
2001-10-06,Chicago,Total,Bus,A,628587
2001-10-07,Chicago,Total,Bus,U,404926
2001-10-08,Chicago,Total,Bus,W,802729
2001-10-09,Chicago,Total,Bus,W,1055377
2001-10-10,Chicago,Total,Bus,W,898767
2001-10-11,Chicago,Total,Bus,W,1025128
2001-10-12,Chicago,Total,Bus,W,1000153
2001-10-13,Chicago,Total,Bus,A,515481
2001-10-14,Chicago,Total,Bus,U,409065
2001-10-15,Chicago,Total,Bus,W,1037513
2001-10-16,Chicago,Total,Bus,W,1022047
2001-10-17,Chicago,Total,Bus,W,1036702
2001-10-18,Chicago,Total,Bus,W,1017434
2001-10-19,Chicago,Total,Bus,W,956423
2001-10-20,Chicago,Total,Bus,A,632093
2001-10-21,Chicago,Total,Bus,U,433014
2001-10-22,Chicago,Total,Bus,W,1012782
2001-10-23,Chicago,Total,Bus,W,1000304
2001-10-24,Chicago,Total,Bus,W,867027
2001-10-25,Chicago,Total,Bus,W,947047
2001-10-26,Chicago,Total,Bus,W,981933
2001-10-27,Chicago,Total,Bus,A,582223
2001-10-28,Chicago,Total,Bus,U,405374
2001-10-29,Chicago,Total,Bus,W,1019942
2001-10-30,Chicago,Total,Bus,W,994503
2001-10-31,Chicago,Total,Bus,W,978585
2001-11-01,Chicago,Total,Bus,W,1029256
2001-11-02,Chicago,Total,Bus,W,1042714
2001-11-03,Chicago,Total,Bus,A,648350
2001-11-04,Chicago,Total,Bus,U,443453
2001-11-05,Chicago,Total,Bus,W,1057697
2001-11-06,Chicago,Total,Bus,W,1044478
2001-11-07,Chicago,Total,Bus,W,1033982
2001-11-08,Chicago,Total,Bus,W,1004574
2001-11-09,Chicago,Total,Bus,W,931849
2001-11-10,Chicago,Total,Bus,A,618184
2001-11-11,Chicago,Total,Bus,U,416118
2001-11-12,Chicago,Total,Bus,W,812747
2001-11-13,Chicago,Total,Bus,W,1026715
2001-11-14,Chicago,Total,Bus,W,994462
2001-11-15,Chicago,Total,Bus,W,983434
2001-11-16,Chicago,Total,Bus,W,1046467
2001-11-17,Chicago,Total,Bus,A,653210
2001-11-18,Chicago,Total,Bus,U,414683
2001-11-19,Chicago,Total,Bus,W,999890
2001-11-20,Chicago,Total,Bus,W,1005581
2001-11-21,Chicago,Total,Bus,W,988420
2001-11-22,Chicago,Total,Bus,U,322788
2001-11-23,Chicago,Total,Bus,W,641780
2001-11-24,Chicago,Total,Bus,A,504548
2001-11-25,Chicago,Total,Bus,U,373755
2001-11-26,Chicago,Total,Bus,W,993754
2001-11-27,Chicago,Total,Bus,W,985583
2001-11-28,Chicago,Total,Bus,W,981842
2001-11-29,Chicago,Total,Bus,W,972155
2001-11-30,Chicago,Total,Bus,W,1039082
2001-12-01,Chicago,Total,Bus,A,640965
2001-12-02,Chicago,Total,Bus,U,418878
2001-12-03,Chicago,Total,Bus,W,1051222
2001-12-04,Chicago,Total,Bus,W,1049416
2001-12-05,Chicago,Total,Bus,W,1039940
2001-12-06,Chicago,Total,Bus,W,1020021
2001-12-07,Chicago,Total,Bus,W,1023743
2001-12-08,Chicago,Total,Bus,A,620074
2001-12-09,Chicago,Total,Bus,U,406917
2001-12-10,Chicago,Total,Bus,W,1005376
2001-12-11,Chicago,Total,Bus,W,1010462
2001-12-12,Chicago,Total,Bus,W,981259
2001-12-13,Chicago,Total,Bus,W,990166
2001-12-14,Chicago,Total,Bus,W,982986
2001-12-15,Chicago,Total,Bus,A,623138
2001-12-16,Chicago,Total,Bus,U,407448
2001-12-17,Chicago,Total,Bus,W,995060
2001-12-18,Chicago,Total,Bus,W,1014592
2001-12-19,Chicago,Total,Bus,W,958790
2001-12-20,Chicago,Total,Bus,W,987827
2001-12-21,Chicago,Total,Bus,W,994499
2001-12-22,Chicago,Total,Bus,A,586969
2001-12-23,Chicago,Total,Bus,U,393359
2001-12-24,Chicago,Total,Bus,W,525908
2001-12-25,Chicago,Total,Bus,U,218872
2001-12-26,Chicago,Total,Bus,W,619967
2001-12-27,Chicago,Total,Bus,W,690465
2001-12-28,Chicago,Total,Bus,W,739404
2001-12-29,Chicago,Total,Bus,A,473194
2001-12-30,Chicago,Total,Bus,U,306871
2001-12-31,Chicago,Total,Bus,W,650794
2002-01-01,Chicago,Total,Bus,U,294360
2002-01-02,Chicago,Total,Bus,W,766853
2002-01-03,Chicago,Total,Bus,W,838088
2002-01-04,Chicago,Total,Bus,W,858709
2002-01-05,Chicago,Total,Bus,A,542470
2002-01-06,Chicago,Total,Bus,U,370508
2002-01-07,Chicago,Total,Bus,W,953807
2002-01-08,Chicago,Total,Bus,W,973200
2002-01-09,Chicago,Total,Bus,W,985622
2002-01-10,Chicago,Total,Bus,W,974188
2002-01-11,Chicago,Total,Bus,W,1006535
2002-01-12,Chicago,Total,Bus,A,565955
2002-01-13,Chicago,Total,Bus,U,371378
2002-01-14,Chicago,Total,Bus,W,985931
2002-01-15,Chicago,Total,Bus,W,983090
2002-01-16,Chicago,Total,Bus,W,955758
2002-01-17,Chicago,Total,Bus,W,968715
2002-01-18,Chicago,Total,Bus,W,967930
2002-01-19,Chicago,Total,Bus,A,556405
2002-01-20,Chicago,Total,Bus,U,374069
2002-01-21,Chicago,Total,Bus,W,648994
2002-01-22,Chicago,Total,Bus,W,1012565
2002-01-23,Chicago,Total,Bus,W,990484
2002-01-24,Chicago,Total,Bus,W,1007218
2002-01-25,Chicago,Total,Bus,W,1028432
2002-01-26,Chicago,Total,Bus,A,611356
2002-01-27,Chicago,Total,Bus,U,408878
2002-01-28,Chicago,Total,Bus,W,1009923
2002-01-29,Chicago,Total,Bus,W,979719
2002-01-30,Chicago,Total,Bus,W,936013
2002-01-31,Chicago,Total,Bus,W,879895
2002-02-01,Chicago,Total,Bus,W,954707
2002-02-02,Chicago,Total,Bus,A,614544
2002-02-03,Chicago,Total,Bus,U,401958
2002-02-04,Chicago,Total,Bus,W,988315
2002-02-05,Chicago,Total,Bus,W,997471
2002-02-06,Chicago,Total,Bus,W,1011650
2002-02-07,Chicago,Total,Bus,W,1011915
2002-02-08,Chicago,Total,Bus,W,1027036
2002-02-09,Chicago,Total,Bus,A,650477
2002-02-10,Chicago,Total,Bus,U,379613
2002-02-11,Chicago,Total,Bus,W,985014
2002-02-12,Chicago,Total,Bus,W,811567
2002-02-13,Chicago,Total,Bus,W,1019675
2002-02-14,Chicago,Total,Bus,W,1014122
2002-02-15,Chicago,Total,Bus,W,1007654
2002-02-16,Chicago,Total,Bus,A,617307
2002-02-17,Chicago,Total,Bus,U,423922
2002-02-18,Chicago,Total,Bus,W,759013
2002-02-19,Chicago,Total,Bus,W,985390
2002-02-20,Chicago,Total,Bus,W,986615
2002-02-21,Chicago,Total,Bus,W,977261
2002-02-22,Chicago,Total,Bus,W,1016162
2002-02-23,Chicago,Total,Bus,A,629609
2002-02-24,Chicago,Total,Bus,U,421160
2002-02-25,Chicago,Total,Bus,W,979843
2002-02-26,Chicago,Total,Bus,W,933204
2002-02-27,Chicago,Total,Bus,W,939542
2002-02-28,Chicago,Total,Bus,W,941136
2002-03-01,Chicago,Total,Bus,W,973482
2002-03-02,Chicago,Total,Bus,A,512767
2002-03-03,Chicago,Total,Bus,U,331715
2002-03-04,Chicago,Total,Bus,W,726815
2002-03-05,Chicago,Total,Bus,W,978944
2002-03-06,Chicago,Total,Bus,W,1008215
2002-03-07,Chicago,Total,Bus,W,1008102
2002-03-08,Chicago,Total,Bus,W,993813
2002-03-09,Chicago,Total,Bus,A,493346
2002-03-10,Chicago,Total,Bus,U,361758
2002-03-11,Chicago,Total,Bus,W,1008613
2002-03-12,Chicago,Total,Bus,W,1021380
2002-03-13,Chicago,Total,Bus,W,1022145
2002-03-14,Chicago,Total,Bus,W,1010579
2002-03-15,Chicago,Total,Bus,W,1005654
2002-03-16,Chicago,Total,Bus,A,615103
2002-03-17,Chicago,Total,Bus,U,390344
2002-03-18,Chicago,Total,Bus,W,992913
2002-03-19,Chicago,Total,Bus,W,990801
2002-03-20,Chicago,Total,Bus,W,993245
2002-03-21,Chicago,Total,Bus,W,930667
2002-03-22,Chicago,Total,Bus,W,961386
2002-03-23,Chicago,Total,Bus,A,617210
2002-03-24,Chicago,Total,Bus,U,370997
2002-03-25,Chicago,Total,Bus,W,895573
2002-03-26,Chicago,Total,Bus,W,938869
2002-03-27,Chicago,Total,Bus,W,989393
2002-03-28,Chicago,Total,Bus,W,965734
